Date,Open,High,Low,Close,Volume,MarketCap
2019-04-20,24.52,25.53,23.96,25.01,311312466,3530449999
2019-04-21,24.99,24.99,22.79,24.19,281288778,3415575669
2019-04-22,24.19,24.7,23.4,23.91,254544860,3375238997
2019-04-23,23.91,24.75,22.69,22.88,264898474,3229567383
2019-04-24,22.85,23.17,21.41,23.13,259839247,3265257560
2019-04-25,23.1,23.53,21.54,22.24,244068802,3140181470
2019-04-26,22.29,23.46,21.64,22.87,253113255,3228602708
2019-04-27,22.87,22.95,22.26,22.34,205615716,3154084440
2019-04-28,22.35,23.04,22.3,22.9,222693167,3232825508
2019-04-29,22.9,22.93,21.32,21.71,201243334,3064223472
2019-04-30,21.7,22.35,21.43,22.13,190326179,3123908034
2019-05-01,22.13,22.22,21.64,21.95,180070221,3099313164
2019-05-02,21.95,23.96,21.83,23.59,228233321,3330602282
2019-05-03,23.58,23.93,23.13,23.75,218859579,3352865380
2019-05-04,23.75,23.77,22.55,22.88,193177736,3230777423
2019-05-05,22.89,23.09,22.64,23.02,171107466,3249853031
2019-05-06,23.02,23.02,21.62,22.21,175856220,3135032511
2019-05-07,22.19,22.47,20.66,20.86,171922295,2945510679
2019-05-08,20.78,21.35,19.8,20.75,247852849,2929769196
2019-05-09,20.75,20.89,18.66,18.83,204395709,2658102391
2019-05-10,18.8,20.01,18.47,19.6,209097573,2766772454
2019-05-11,19.6,21.94,19.08,21.05,298063616,2971665277
2019-05-12,21.08,21.47,20.33,20.83,239206084,2940727441
2019-05-13,20.83,24.53,20.75,23.81,404049210,3361533517
2019-05-14,23.89,24.48,22.94,23.63,328207185,3335471229
2019-05-15,23.65,27.14,23.61,26.89,357899657,3796906245
2019-05-16,26.79,27.65,25.45,26.33,368906500,3716558521
2019-05-17,26.32,26.61,23.49,25.68,398169924,3625749718
2019-05-18,25.68,28.42,25.28,28.4,470683583,4008931116
2019-05-19,28.37,29.92,27.16,29.41,494423260,4152372616
2019-05-20,29.4,29.43,28.04,29.31,457260435,4137202328
2019-05-21,29.31,32.43,28.35,32.01,742382920,4518656931
2019-05-22,32.03,32.22,30.98,31.42,534057314,4436022276
2019-05-23,31.36,32.2,30.45,31.52,536619660,4449249550
2019-05-24,31.53,34.35,31.29,33.84,648459287,4777575417
2019-05-25,33.84,35.33,33.56,35.05,637380073,4948638864
2019-05-26,35.05,35.08,33.23,34.1,611208604,4814769248
2019-05-27,34.06,35.29,33.27,33.68,598117911,4754886598
2019-05-28,33.71,34.64,32.89,33.36,516116377,4709747864
2019-05-29,33.35,33.88,31.91,33.74,564894524,4763875686
2019-05-30,33.78,35.5,31.48,32.29,517229671,4558706819
2019-05-31,32.29,32.75,31.38,32.75,503989734,4623238353
2019-06-01,32.75,33.76,32.54,33.01,572703757,4660718181
2019-06-02,33.01,33.76,32.63,33.17,461362658,4683362944
2019-06-03,33.19,33.2,31.2,31.39,417996141,4431774967
2019-06-04,31.38,31.42,29.18,29.38,421064886,4147823994
